                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.4772,                0.96247,                0.91507,                0.81374,                0.64658,                0.72399,                0.51977,                 1.4404,                 0.9138,                0.92651,             0.00028239,             0.00028239,             0.00028239
                    108,                 1.4516,                0.94914,                0.91455,                0.82932,                0.63837,                0.71249,                0.51297,                 1.4492,                0.91776,                0.92934,             0.00027948,             0.00027948,             0.00027948
                    109,                 1.4697,                0.95531,                0.91658,                0.81597,                0.65417,                0.72441,                0.51206,                 1.4481,                0.91683,                0.92803,             0.00027657,             0.00027657,             0.00027657
                    110,                 1.4565,                0.95143,                0.91139,                0.81459,                 0.6411,                0.71954,                 0.5166,                 1.4676,                0.91945,                0.93108,             0.00027366,             0.00027366,             0.00027366
                    111,                 1.4394,                0.93496,                0.91842,                0.79467,                0.65881,                0.72502,                0.51879,                 1.4525,                0.91065,                0.92809,             0.00027074,             0.00027074,             0.00027074
                    112,                 1.4772,                0.96337,                0.91758,                0.82554,                0.64308,                0.72537,                0.51685,                 1.4627,                0.90787,                0.92923,             0.00026783,             0.00026783,             0.00026783
                    113,                 1.4506,                0.95081,                0.91375,                0.80083,                 0.6661,                0.72399,                0.51842,                 1.4361,                 0.9133,                0.92713,             0.00026492,             0.00026492,             0.00026492
                    114,                 1.4386,                 0.9443,                0.91492,                0.80755,                0.65041,                 0.7285,                0.52213,                 1.4302,                0.90339,                0.92434,             0.00026201,             0.00026201,             0.00026201
                    115,                 1.4718,                0.95437,                0.91704,                0.84169,                 0.6542,                0.73396,                0.52756,                 1.4179,                0.89096,                0.92364,              0.0002591,              0.0002591,              0.0002591
                    116,                 1.4379,                0.93312,                0.91712,                 0.8497,                0.65405,                0.73505,                0.51732,                 1.4571,                0.89999,                0.92848,             0.00025619,             0.00025619,             0.00025619
                    117,                 1.4465,                 0.9349,                0.91373,                0.77431,                0.68128,                0.73016,                0.52485,                  1.436,                0.91017,                0.92534,             0.00025328,             0.00025328,             0.00025328
                    118,                 1.4539,                0.95585,                0.91402,                0.79042,                0.66691,                0.73329,                0.52884,                 1.4192,                0.89915,                0.92279,             0.00025037,             0.00025037,             0.00025037
                    119,                 1.4555,                0.94713,                0.90873,                 0.8096,                 0.6701,                0.73458,                0.52829,                  1.433,                0.89514,                0.92239,             0.00024746,             0.00024746,             0.00024746
                    120,                 1.4394,                0.93865,                0.91392,                 0.7922,                0.67443,                0.73702,                0.52809,                 1.4229,                0.89269,                0.92342,             0.00024455,             0.00024455,             0.00024455
                    121,                 1.4415,                0.93552,                  0.909,                0.83433,                0.65827,                0.73658,                 0.5242,                   1.44,                0.89992,                0.92557,             0.00024164,             0.00024164,             0.00024164
                    122,                 1.4357,                0.93475,                0.90268,                0.83717,                0.64162,                0.73553,                0.53011,                 1.4327,                 0.8825,                0.92184,             0.00023873,             0.00023873,             0.00023873
                    123,                 1.4265,                0.91814,                   0.91,                0.78159,                0.66276,                 0.7339,                0.52765,                 1.4295,                0.90865,                0.92385,             0.00023582,             0.00023582,             0.00023582
                    124,                 1.4606,                0.93298,                0.90795,                0.82307,                0.66695,                  0.735,                0.53137,                 1.4249,                0.89721,                0.92335,             0.00023291,             0.00023291,             0.00023291
                    125,                 1.4172,                0.91432,                0.90714,                0.84555,                 0.6649,                0.73794,                 0.5365,                  1.423,                0.88707,                0.92354,                0.00023,                0.00023,                0.00023
                    126,                 1.4289,                0.92144,                0.90942,                0.85668,                0.66478,                0.74138,                0.53565,                 1.4284,                0.88145,                0.92262,             0.00022709,             0.00022709,             0.00022709
                    127,                 1.4189,                0.91546,                0.90969,                0.83912,                0.67509,                0.73979,                0.53805,                 1.4174,                0.88002,                0.92098,             0.00022417,             0.00022417,             0.00022417
                    128,                 1.4391,                0.92256,                0.91039,                0.81789,                 0.6808,                0.74286,                0.53289,                 1.4237,                0.88387,                0.92061,             0.00022126,             0.00022126,             0.00022126
                    129,                 1.4304,                0.91622,                 0.9043,                0.80962,                0.66484,                0.73354,                0.52729,                 1.4235,                0.89133,                0.92346,             0.00021835,             0.00021835,             0.00021835
